strain  stressx  stressy  stressz  
0 0.00725103716917733 0.00202916097706636 0.00161337906473806 
0.001 0.0996103337024748 0.0024206172582829 0.00316453819773092 
0.002 0.178498019087826 -0.00339628108794697 -0.0117532814680193 
0.003 0.274370657947645 0.00372827354751053 0.00494803600606383 
0.00399999999999989 0.370835959446225 0.00579655641072233 -0.00239625342405664 
0.00499999999999989 0.454920606914079 0.00137460142694139 -0.000140797045438287 
0.00599999999999989 0.606767636726344 0.00545098825114756 0.00547857118430964 
0.0069999999999999 0.663340842786036 0.00810771261148726 0.000612971721879069 
0.0079999999999999 0.759340454067495 -0.00204022756759285 -0.00130107566804564 
0.0089999999999999 0.861187286708106 0.00587275213296337 0.011696181868797 
0.0099999999999999 0.963017084228326 -0.00526253964110993 0.0156343670704421 
0.0109999999999998 1.077503238425 -0.0014580027801105 0.00310557868215076 
0.0119999999999998 1.14814402703437 -0.00300412625425227 -0.00728842289605304 
0.0129999999999998 1.25468649185434 0.00203440181614267 0.00834557406557497 
0.0139999999999998 1.31834429572782 9.0562837341087e-05 -0.00231002252904236 
0.0149999999999998 1.43766325919773 0.0119915686779098 -0.0127563269510072 
0.0159999999999998 1.5379829288414 0.00477794676473385 -0.00796435797439529 
0.0169999999999997 1.65858966256285 -0.00697808556306995 0.00400496527246267 
0.0179999999999997 1.73195327785451 0.00549248293145709 0.00925958540815519 
0.0189999999999997 1.84593978052641 -0.0079922739720859 -0.00428201383496116 
0.0199999999999997 1.93043695436105 0.00544492868846086 0.00928471456871041 
