strain  stressx  stressy  stressz  
0 -0.0133927601926652 -0.0045162663363019 -0.00788833544807101 
0.001 0.0728439992520669 0.0050060368427751 -0.00310049823211967 
0.00199999999999989 0.161646150212897 0.002322693368485 0.0142806269896994 
0.00299999999999989 0.216330290486726 -0.000911595438387695 0.00442367511021748 
0.00399999999999989 0.324130686519551 -0.00865341049709377 -0.00950774436113373 
0.00499999999999989 0.369073135990671 -0.010042766393943 -0.00399502037242719 
0.00599999999999978 0.55121308007996 0.0149179222598599 0.0044220336779465 
0.00699999999999978 0.559007486608906 0.000238550634950719 0.00966670426171669 
0.00799999999999979 0.700523083034546 0.000900476027706202 -0.00567412981473289 
0.00899999999999967 0.799918361375441 -0.00121691661741278 -0.00208695336016355 
0.00999999999999968 0.865973609630292 0.00270175925144694 0.00265499231550199 
0.0109999999999997 0.965462588860431 -0.00853886298575681 -0.00593528480956597 
0.0119999999999997 1.0873788286598 0.0018517379299255 -0.0035328143301829 
0.0129999999999996 1.15783111175534 -0.000527877297463202 0.00967200863100843 
0.0139999999999996 1.25699397470409 0.00756025727827999 0.000423808341699776 
0.0149999999999996 1.39750466178085 -0.00849603148916557 0.00422146494529772 
0.0159999999999995 1.517599172761 0.000545763470030474 0.011158617770815 
0.0169999999999995 1.59005123641102 -0.00868028023145863 0.00193028449761637 
0.0179999999999995 1.70714020866531 -0.00136870257160205 -0.00523479615187993 
0.0189999999999994 1.80902467909725 -0.00715578701001491 0.000491218979411806 
0.0199999999999994 1.91374500650185 0.00610200182009255 -0.00278235836066239 
