Temp	Strain
299.897846873945	0.0
350.345647620918	0.000605932170778534
399.681968448717	0.00120682542151118
450.803644345698	0.00179449937177911
499.603546794163	0.00242830914097691
549.834857609322	0.00304602517524444
600.537888571406	0.00367590153170316
652.379181328126	0.00439426144896338
700.42054969873	0.00508015567921971
751.408359114584	0.00580685519165436
800.168408010792	0.00642231908633306
850.557233879032	0.00703704913427572
901.054219352214	0.00778381153246355
950.03605199329	0.0083246804974193
996.844487778075	0.00903513959631774
