Temp	Strain
299.716292758997	0.0
349.777357732594	0.000386811422818267
400.960627064834	0.000962269271746363
449.689795103953	0.00149480915228906
500.198015629352	0.00210073227196994
549.897637122389	0.00265695893242501
601.796794213543	0.00340930761931957
650.39317468206	0.00407405422468465
699.719542605153	0.00448727051666831
749.870013115782	0.00508315079210298
798.589806593292	0.00572547583757599
851.919018645885	0.00624858390766891
901.025521813655	0.00685671626153161
950.24916106787	0.00749686809834116
1000.57512015074	0.00820059037381649
