Temp	Strain
300.226915326033	0.0
350.298600767781	0.000579374282015266
398.988556417219	0.00113707834399435
449.693820160066	0.00172288260459541
499.048802772238	0.00229114450814261
547.417430086796	0.00284630268068065
600.478404261802	0.00340222740783447
650.212131600623	0.00395098741952604
700.424114879382	0.00454061383217352
748.791642484499	0.0050692426893546
801.395452054056	0.00562995439058889
851.198480339561	0.00622988885636055
899.915548693942	0.00673458699190643
948.64561171009	0.00730354881966222
1001.26328891204	0.00790160363069958
