strain  stressx  stressy  stressz  
0 0.129714750999664 -0.00132605935668638 0.00354714881126118 
0.00099999999999989 0.218358501108491 -0.00691141780679869 0.00683802280388256 
0.00199999999999989 0.441562469288729 0.00578115332815021 -0.00227618976723692 
0.00299999999999978 0.48933280491759 -0.00179193556561693 -0.00450905858644189 
0.00399999999999978 0.624968369311573 0.000647435141599169 -0.00697795074475464 
0.00499999999999967 0.738737771517263 0.0010805611961007 -0.000966374765327828 
0.00599999999999967 0.818149371434 -0.00390767551829788 0.00222652239241851 
0.00699999999999956 0.909815070928965 -0.00944043408405694 0.00412930974259761 
0.00799999999999956 0.956215963485293 -0.00517734582868692 0.00388967058300996 
0.00899999999999945 1.08511491691644 0.00985959419958899 0.00311714318223821 
0.00999999999999945 1.17923604096221 -0.00089477489276156 0.00375227825151181 
0.0109999999999993 1.28124078053122 0.00916870438245411 -0.00438258444294819 
0.0119999999999992 1.35203887241623 -0.0070627881231925 0.00853716316077295 
0.0129999999999992 1.47075108992243 -0.00641792647345465 -0.0100316454661823 
0.0139999999999991 1.56962128611042 -0.000587044916049298 -0.0103243176819419 
0.0149999999999991 1.72626897560013 0.00808213711274822 0.000590769521329333 
0.015999999999999 1.86259443075161 -0.00143654599915845 0.00310402785351741 
0.016999999999999 1.98422171564829 -0.00709631289162229 0.00145643168280782 
0.0179999999999989 2.09822928346898 -0.00578570542512229 0.0122219728157536 
0.0189999999999989 2.21616510719839 0.00144881313275937 -0.0024374833901197 
0.0199999999999988 2.34913047501848 -0.00377700407318046 0.00320805831375479 
