Temp	Strain
300.320251514376	0.0
349.217684760758	0.000672374082955063
399.804123253421	0.00133068932552693
449.82317735528	0.00192572105115718
499.956169325843	0.00251464433715776
549.860013051817	0.00309571766481831
600.330116095994	0.00367089712773327
650.128813904788	0.00421631319509475
699.827078324301	0.00478223150419121
748.828412147383	0.00532040211500906
800.934694402212	0.00591835522473305
849.236282984144	0.00645030053520368
900.098134533757	0.00702158498579242
949.87595171093	0.0075624229776039
999.425508849353	0.00812125356875515
