Temp	Strain
300.494678569469	0.0
350.689749448041	0.000597292249997938
400.840341148546	0.00118408649384683
448.265427541174	0.00171746120465777
500.813932089893	0.0023069682096506
548.313220225438	0.00283842663840495
600.73906698876	0.00342279019202296
647.520070265012	0.00393171879625354
700.555381172623	0.00453905576835312
749.8810326151	0.00506694999913249
800.921770778582	0.0056399238135223
849.978432029378	0.00616414932944331
899.727352690681	0.00675712087177893
948.889850385941	0.00725470903829595
999.931646275825	0.0078445336467643
